x=0.90740246 , y=3.8714242 , z=7.5680714
x=1.1013328 , y=3.9025488 , z=7.374141
x=1.3024458 , y=3.9240966 , z=7.261614
x=1.4101849 , y=3.8977604 , z=7.2328835
x=1.4149733 , y=3.8379054 , z=7.3286514
x=1.2904748 , y=3.7612908 , z=7.6470804
x=1.1061212 , y=3.6607344 , z=7.989451
x=0.90979666 , y=3.5314474 , z=8.406042
x=0.63206923 , y=3.2944214 , z=8.825027
x=0.35434186 , y=3.1435869 , z=9.076419
x=0.031124622 , y=2.9616275 , z=9.313444
x=-0.01436521 , y=2.8634653 , z=9.464279
x=-0.2705448 , y=2.7988217 , z=9.588778
x=-0.61770403 , y=2.7748797 , z=9.509769
x=-0.50038815 , y=2.7461493 , z=9.557653
x=-0.2825158 , y=2.6408045 , z=9.56723
x=-0.2633622 , y=2.552219 , z=9.263166
x=-0.18674773 , y=2.5617957 , z=9.059659
x=-0.01436521 , y=2.695871 , z=9.030929
x=-0.04309563 , y=2.7006595 , z=8.916007
x=0.4141969 , y=2.717419 , z=8.781932
x=0.9528923 , y=2.7269957 , z=8.789114
x=1.2952632 , y=2.731784 , z=8.7771435
x=1.3263878 , y=2.80361 , z=8.719683
x=1.0941502 , y=2.9113493 , z=8.75799
x=0.62728083 , y=3.028665 , z=8.822633
x=0.2753332 , y=3.052607 , z=8.829816
x=0.079008654 , y=3.0119057 , z=8.892065
x=-0.0023942017 , y=2.885013 , z=9.11712
x=-0.047884032 , y=2.8083985 , z=9.244013
x=-0.4213795 , y=2.7030537 , z=9.232041
x=-0.2873042 , y=2.6168625 , z=9.19134
x=0.059855044 , y=2.5450363 , z=9.284714
x=0.40462008 , y=2.4875755 , z=9.55047
x=0.5267244 , y=2.5234885 , z=9.619903
x=0.4333505 , y=2.621651 , z=9.6845455
x=0.33279404 , y=2.6623523 , z=9.694122
x=0.23223756 , y=2.657564 , z=9.7324295
x=0.16759412 , y=2.633622 , z=9.749189
x=0.06464344 , y=2.6240451 , z=9.706094
x=-0.33518824 , y=2.5187001 , z=9.421184
x=0.04309563 , y=2.4181437 , z=9.210494
x=0.45729253 , y=2.396596 , z=9.217676
x=0.46447513 , y=2.4109612 , z=9.315839
x=0.35434186 , y=2.5330653 , z=9.339781
x=0.5410896 , y=2.5881321 , z=9.294291
x=0.8571242 , y=2.6408045 , z=9.246407
x=1.1180922 , y=2.6527755 , z=9.354146
x=1.3215994 , y=2.8299465 , z=9.481039
x=1.2282255 , y=2.8802247 , z=9.478644
x=1.2186487 , y=2.7868507 , z=9.423578
x=1.1133038 , y=2.5761611 , z=9.399636
x=0.8643068 , y=2.3199813 , z=9.40203
x=0.6392518 , y=2.0829554 , z=9.514558
x=0.48841715 , y=2.0231004 , z=9.674969
x=0.4405331 , y=2.0135236 , z=9.787497
x=0.5650316 , y=1.8459295 , z=9.818622
x=0.39504328 , y=1.7980455 , z=10.055647
x=0.24660277 , y=1.8124107 , z=10.352529
x=0.23463176 , y=1.721431 , z=10.503363
x=0.21308395 , y=1.6711528 , z=10.534488
x=0.1316811 , y=1.6041151 , z=10.2495775
x=-0.019153614 , y=1.553837 , z=10.115502
x=-1.1875241 , y=0.78290397 , z=10.419566
x=-0.8738836 , y=1.0606314 , z=10.5704
x=0.16998832 , y=1.7262194 , z=9.995792
x=0.9935937 , y=2.3463178 , z=9.7803135
x=1.6639702 , y=2.8107927 , z=9.730036
x=2.0446482 , y=3.145981 , z=9.718064
x=2.1021092 , y=3.2824504 , z=9.445126
x=1.8602947 , y=3.2082303 , z=8.762778
x=1.6017209 , y=3.1986535 , z=8.212111
x=1.3718776 , y=3.2249897 , z=7.9008656
x=1.2210429 , y=3.1052797 , z=7.809886
x=1.2545617 , y=2.9616275 , z=7.8290396
x=1.364695 , y=2.861071 , z=7.8027034
x=1.3335704 , y=2.8754363 , z=7.7667904
x=1.1947067 , y=2.8754363 , z=7.7691846
x=0.9888053 , y=2.7988217 , z=7.9152308
x=0.7134721 , y=2.5115175 , z=8.106767
x=0.023942016 , y=1.982399 , z=8.133103
x=0.24660277 , y=2.2146366 , z=8.281544
x=0.521936 , y=2.3918076 , z=8.23366
x=0.79008657 , y=2.6479871 , z=8.532935
x=0.85473 , y=2.6839 , z=8.858546
x=0.78769237 , y=2.4899697 , z=9.528923
x=0.79008657 , y=2.2290018 , z=10.022128
x=0.7278373 , y=2.054225 , z=10.3932295
x=0.5554548 , y=1.9991584 , z=10.608707
x=0.47884035 , y=2.1308396 , z=10.486604
x=0.6560113 , y=2.44448 , z=10.010158
x=0.91219085 , y=2.7246015 , z=9.531317
x=1.0965444 , y=2.9855695 , z=9.021352
x=1.151611 , y=3.2130187 , z=8.516175
x=1.0965444 , y=3.2824504 , z=8.204929
x=0.94570965 , y=3.2225955 , z=8.020576
x=0.8355764 , y=3.1555579 , z=7.905654
x=0.7637503 , y=3.1292217 , z=7.809886
x=0.79248077 , y=3.1483753 , z=7.7069354
x=0.85473 , y=3.1483753 , z=7.711724
x=0.9864111 , y=3.1627405 , z=7.800309
x=1.13964 , y=3.122039 , z=7.9750857
x=1.3239936 , y=3.0310593 , z=8.228871
x=1.4556746 , y=2.8443117 , z=8.588001
x=1.448492 , y=2.6719291 , z=8.908825
x=1.3072342 , y=2.432509 , z=9.461885
x=1.1013328 , y=2.2505496 , z=9.950302
x=0.8475474 , y=2.1452048 , z=10.534488
x=0.5722142 , y=2.1140802 , z=11.317391
x=0.30885202 , y=2.147599 , z=11.805809
x=0.04070143 , y=2.231396 , z=12.265495
x=-0.11252748 , y=2.3295584 , z=12.409147
x=-0.17717093 , y=2.4612393 , z=12.334928
x=-0.12689269 , y=2.6168625 , z=12.004527
x=0.023942016 , y=2.743755 , z=11.626244
x=0.24181437 , y=2.9281087 , z=11.267113
x=0.36870706 , y=3.1268275 , z=11.003751
x=0.51235914 , y=3.3087866 , z=10.6398325
x=0.59615624 , y=3.596091 , z=10.115502
x=0.63206923 , y=3.8115692 , z=9.662998
