x=0.8475474 , y=5.267244 , z=2.9903579
x=0.8571242 , y=5.1571107 , z=4.3837833
x=0.61770403 , y=5.0757074 , z=4.1012673
x=0.18674773 , y=4.9775453 , z=3.2225955
x=-0.24899697 , y=4.8386817 , z=3.3854012
x=-0.40940848 , y=4.620809 , z=4.570531
x=-0.7230489 , y=4.321534 , z=7.1634517
x=-0.641646 , y=4.197036 , z=7.867347
x=-0.6631939 , y=4.1012673 , z=6.5840545
x=-1.2976574 , y=4.086902 , z=4.9799395
x=-1.4293385 , y=3.964798 , z=5.535394
x=-0.9768343 , y=3.6750996 , z=6.1507044
x=-0.4261679 , y=3.5170822 , z=7.1586633
x=0.12928689 , y=3.2752678 , z=7.66384
x=0.17717093 , y=3.13401 , z=7.33344
x=0.07182605 , y=3.2321723 , z=7.9463553
x=0.20350714 , y=3.3686419 , z=8.35337
x=0.22984336 , y=3.7062242 , z=9.378088
x=-0.059855044 , y=3.9671922 , z=10.623073
x=-0.19393034 , y=4.1515455 , z=10.726024
x=-0.36870706 , y=4.2904096 , z=10.000581
x=-0.60812724 , y=4.450821 , z=8.561666
x=-0.5793968 , y=4.489128 , z=7.165846
x=-0.5267244 , y=4.5394063 , z=6.8306575
x=-0.21787235 , y=4.4556093 , z=6.730101
x=-0.12689269 , y=4.4340615 , z=7.2544312
x=-0.19393034 , y=4.4819455 , z=6.682217
x=-0.31364042 , y=4.4915223 , z=5.592855
x=-0.45250413 , y=4.5561657 , z=4.939238
x=-0.34715924 , y=4.6375685 , z=4.606444
x=-0.4309563 , y=4.6710877 , z=5.4180784
x=-0.20829555 , y=4.855441 , z=6.658275
x=-0.08619126 , y=4.903325 , z=7.350199
x=-0.007182605 , y=4.8362875 , z=7.9846625
x=0.15562311 , y=4.486734 , z=8.48984
x=0.50038815 , y=4.110844 , z=9.241618
x=1.5251064 , y=3.7421372 , z=11.125855
x=2.2984335 , y=3.8019924 , z=13.855246
x=2.56419 , y=4.1419687 , z=16.577452
x=2.1787236 , y=4.5418005 , z=17.025167
x=1.5921441 , y=5.0182467 , z=16.859968
x=1.2210429 , y=5.4180784 , z=16.529568
x=1.400608 , y=5.41329 , z=16.548721
x=1.7812861 , y=5.207389 , z=14.939818
x=1.6903064 , y=5.097255 , z=13.567941
x=1.0582372 , y=4.9895163 , z=12.713211
x=0.5506664 , y=4.915296 , z=11.69807
x=0.18914193 , y=4.900931 , z=10.819398
x=-0.23463176 , y=5.035006 , z=9.871294
x=-0.44532153 , y=5.2026005 , z=9.176975
x=-0.35434186 , y=5.415684 , z=8.875306
x=-0.10534488 , y=5.6239796 , z=8.305486
x=0.1388637 , y=5.765238 , z=7.860164
x=0.30645782 , y=5.758055 , z=7.9607205
x=0.533907 , y=5.758055 , z=8.157045
x=0.62967503 , y=5.78918 , z=8.0924015
x=0.2705448 , y=5.861006 , z=7.9008656
x=-0.11731588 , y=5.877765 , z=7.93199
x=-0.24420857 , y=5.8442464 , z=8.50181
x=-0.39743748 , y=5.803545 , z=8.200141
x=-0.51714754 , y=5.6766524 , z=7.4627266
x=-0.7733272 , y=5.401319 , z=7.204153
x=-0.8403648 , y=5.1235914 , z=6.955156
x=-0.93613285 , y=4.9057193 , z=6.9982514
x=-1.1994951 , y=4.7668557 , z=6.981492
x=-1.4820108 , y=4.606444 , z=6.9958572
x=-1.5179238 , y=4.309563 , z=7.2065473
x=-1.2976574 , y=4.0462008 , z=7.73806
x=-0.90261406 , y=3.7086184 , z=8.159439
x=-0.49799395 , y=3.454833 , z=8.4347725
x=0.12210429 , y=3.157952 , z=9.263166
x=0.7398083 , y=2.9640217 , z=10.235212
x=0.9983821 , y=2.8562827 , z=11.137826
x=0.92895025 , y=2.8491 , z=11.437101
x=0.9600749 , y=2.8754363 , z=11.801021
x=1.0845734 , y=2.9759927 , z=12.253524
x=1.2210429 , y=3.0765493 , z=12.193669
x=1.4293385 , y=3.1387985 , z=11.949461
x=1.5825673 , y=3.1531637 , z=11.784261
x=1.6256629 , y=3.1124623 , z=11.293449
x=1.553837 , y=3.1555579 , z=11.295844
x=1.4891934 , y=3.2632968 , z=10.9582615
x=1.4077905 , y=3.394978 , z=9.404425
x=1.0366893 , y=3.643975 , z=7.0006456
x=0.6464345 , y=3.8235402 , z=5.631162
x=0.61052144 , y=3.9504328 , z=5.161899
x=0.80924016 , y=4.1276035 , z=5.707777
x=0.94331545 , y=4.1515455 , z=5.755661
x=0.79487497 , y=4.039018 , z=4.9775453
x=0.6607997 , y=3.9719806 , z=3.6367924
x=0.6512229 , y=3.9839516 , z=2.695871
x=0.842759 , y=4.0414124 , z=3.1603463
x=1.1755531 , y=4.211401 , z=4.390966
x=1.2617443 , y=4.4819455 , z=4.596867
x=0.94810385 , y=4.6471453 , z=4.915296
x=0.40701428 , y=4.608838 , z=5.255273
x=0.33758244 , y=4.3837833 , z=5.7005944
x=0.641646 , y=4.1635165 , z=6.1866174
x=0.7637503 , y=4.110844 , z=6.6654577
x=0.6344634 , y=3.9336734 , z=8.073248
x=0.545878 , y=3.6631286 , z=8.647857
x=0.4213795 , y=3.6056678 , z=8.149862
x=0.2705448 , y=3.5529952 , z=7.36217
x=0.18674773 , y=3.4811692 , z=7.5824366
x=0.35673606 , y=3.4476504 , z=8.346188
x=0.6727707 , y=3.5697548 , z=9.440337
x=0.61530983 , y=3.655946 , z=9.528923
x=0.33518824 , y=3.58412 , z=8.255207
x=0.32321724 , y=3.6750996 , z=7.8529816
x=0.49320555 , y=3.7660792 , z=7.941567
x=0.90500826 , y=4.050989 , z=8.793902
x=1.1707647 , y=4.2640734 , z=9.548077
x=1.3575124 , y=4.5441947 , z=9.076419
x=1.3503298 , y=4.6232033 , z=8.588001
x=1.412579 , y=4.7165775 , z=7.711724
x=1.7046716 , y=4.8865657 , z=7.2927384
x=2.0326772 , y=4.9919105 , z=7.065289
x=2.4037786 , y=5.3606176 , z=8.461109
x=2.4636335 , y=5.5497594 , z=9.739613
x=2.2026656 , y=5.57849 , z=9.849746
x=1.3623008 , y=5.499481 , z=9.85214
x=0.7493851 , y=5.3438582 , z=9.459491
x=0.4285621 , y=5.269638 , z=9.871294
x=0.50517654 , y=5.2840033 , z=10.04607
x=0.6560113 , y=5.451597 , z=9.727641
x=0.36631286 , y=5.3821654 , z=8.693346
x=0.30166942 , y=5.1882353 , z=7.6973586
x=0.60812724 , y=4.9536033 , z=7.3310456
x=0.8475474 , y=4.9296613 , z=7.398083
x=0.9959879 , y=5.0493712 , z=8.755595
x=0.7757214 , y=5.130774 , z=9.706094
