x=0.10534326358136661 , y=2.401347583073374 , z=2.2122084905059
x=-0.017956237094487515 , y=2.3151574870699436 , z=3.075305101406027
x=-0.17118279773187087 , y=2.2337559549030255 , z=3.673846255933812
x=-0.40940221096964186 , y=2.1164419820742313 , z=4.102401857995386
x=-0.4967892393191376 , y=1.880616597438855 , z=4.27119056752113
x=-0.6236799821985627 , y=1.6699301596817198 , z=4.447161765179249
x=-0.6392420398187089 , y=1.4688202535602874 , z=4.72129363397983
x=-0.5051688088069086 , y=1.3658711377887793 , z=5.5939666573081945
x=-0.44172343736719605 , y=1.2701045101496466 , z=5.9183759430354
x=-0.4429205187225919 , y=1.200673791536687 , z=5.902814123830183
x=-0.4824242630543873 , y=1.1468050113364092 , z=5.347367421266791
x=-0.41299345503582946 , y=1.2461628830417295 , z=5.655018044848312
x=-0.2765260613132375 , y=1.3598857310118002 , z=5.784302831231064
x=-0.2346281691715834 , y=1.3922069276074882 , z=5.972244842443143
x=-0.2238544369730207 , y=1.3539003242348209 , z=5.769937854966314
x=-0.07302203718381242 , y=1.3287616157715079 , z=4.9666955502509085
x=0.021547484885908342 , y=1.3550974055902167 , z=3.8198904197070354
x=0.02872998046875 , y=1.3658711377887793 , z=4.034167982322893
