x=-1.8483237 , y=1.4532804 , z=11.59033
x=-2.1619642 , y=1.3814543 , z=12.018892
x=-2.2266076 , y=1.4053963 , z=11.650186
x=-2.123657 , y=1.4820108 , z=10.879252
x=-1.934515 , y=1.5514427 , z=10.043676
x=-1.6041151 , y=1.685518 , z=9.416395
x=-0.9983821 , y=1.8938135 , z=8.932767
x=-0.36152446 , y=2.066196 , z=8.59279
x=0.521936 , y=2.2266076 , z=8.377312
x=0.8762778 , y=2.2984335 , z=8.532935
x=0.8762778 , y=2.2601264 , z=8.992621
x=0.50038815 , y=2.0949266 , z=10.079589
x=-0.021547815 , y=1.982399 , z=10.912771
x=-0.8762778 , y=1.7812861 , z=11.647791
x=-1.2904748 , y=1.7549498 , z=12.083536
x=-1.3575124 , y=1.8267759 , z=12.382812
x=-1.2258313 , y=2.0015526 , z=12.090718
x=-0.9888053 , y=2.1547816 , z=11.528081
x=-0.46208093 , y=2.2218192 , z=10.596737
x=-0.016759412 , y=2.3439236 , z=9.909601
x=0.23223756 , y=2.4732103 , z=9.32781
x=0.4141969 , y=2.566584 , z=8.841787
x=0.4261679 , y=2.542642 , z=8.585608
x=0.39504328 , y=2.5833437 , z=8.583213
x=0.30166942 , y=2.5234885 , z=8.6574335
x=0.19393034 , y=2.5306711 , z=8.671799
x=0.18435353 , y=2.4372973 , z=8.992621
x=0.107739076 , y=2.4013844 , z=9.476251
x=-0.031124622 , y=2.4061728 , z=10.038888
x=-0.11252748 , y=2.3558946 , z=10.295067
x=-0.24899697 , y=2.2577322 , z=10.381259
x=-0.40462008 , y=2.0925324 , z=10.481815
x=-0.62488663 , y=1.9967642 , z=10.565612
x=-1.0103531 , y=1.9632454 , z=10.611102
x=-1.2234371 , y=1.970428 , z=10.553641
x=-1.2641385 , y=2.066196 , z=10.15381
x=-1.1324574 , y=2.2122424 , z=9.186552
x=-1.043872 , y=2.1691468 , z=8.255207
x=-0.80684596 , y=2.0566192 , z=7.417237
x=-0.62009823 , y=1.9800048 , z=7.153875
x=-0.5770026 , y=1.9033904 , z=7.264008
x=-0.6991069 , y=1.8339585 , z=7.503428
x=-0.78290397 , y=1.7669208 , z=7.991845
x=-0.7278373 , y=1.7405846 , z=9.035717
x=-0.878672 , y=1.7262194 , z=9.844957
x=-1.0199299 , y=1.7477672 , z=10.460267
x=-1.1899183 , y=1.7429788 , z=11.152191
x=-1.271321 , y=1.7429788 , z=11.370064
x=-1.5634137 , y=1.7142484 , z=11.257536
x=-1.6472107 , y=1.6807296 , z=10.869676
x=-1.5251064 , y=1.6376339 , z=10.3932295
x=-1.5514427 , y=1.6879122 , z=9.792285
x=-1.4820108 , y=1.7238252 , z=9.3182335
x=-1.4556746 , y=1.7621324 , z=9.167398
x=-1.496376 , y=1.8483237 , z=9.289502
x=-1.4221559 , y=1.9201498 , z=9.361329
x=-1.2330139 , y=1.970428 , z=9.13388
x=-0.9600749 , y=2.123657 , z=9.066842
x=-0.6679823 , y=2.2409728 , z=9.138668
x=-0.48841715 , y=2.243367 , z=9.260772
x=-0.36152446 , y=2.1883004 , z=9.346964
x=-0.4429273 , y=2.0326772 , z=9.80665
x=-0.6392518 , y=1.8842367 , z=10.424355
x=-1.0247183 , y=1.7860745 , z=11.027693
x=-1.4413095 , y=1.7764976 , z=11.334151
x=-1.7836803 , y=1.7405846 , z=11.693281
x=-1.8315643 , y=1.8291701 , z=11.69807
x=-1.8483237 , y=1.9512744 , z=11.432313
x=-1.5179238 , y=2.171541 , z=10.630256
x=-0.9911995 , y=2.4061728 , z=9.694122
x=-0.60333884 , y=2.633622 , z=8.616732
x=-0.272939 , y=2.7126305 , z=7.563283
x=0.038307227 , y=2.801216 , z=7.00304
x=0.320823 , y=2.885013 , z=6.7444663
x=0.5434838 , y=2.8778305 , z=6.8905125
x=0.770933 , y=2.8538885 , z=6.9838862
x=0.842759 , y=2.753332 , z=7.4387846
x=0.6823475 , y=2.6551697 , z=8.212111
x=0.21308395 , y=2.4492683 , z=9.083601
x=-0.31124622 , y=2.2768857 , z=9.378088
x=-0.7206547 , y=2.0853498 , z=9.457097
x=-0.8499416 , y=2.0207062 , z=9.569624
x=-0.9744401 , y=1.9871874 , z=9.421184
x=-1.0175357 , y=1.7717092 , z=9.414001
x=-0.830788 , y=1.673547 , z=9.26556
x=-0.8738836 , y=1.6184803 , z=8.961497
x=-1.0342951 , y=1.5705963 , z=8.736442
x=-1.1061212 , y=1.5514427 , z=8.827422
x=-1.1492168 , y=1.6328455 , z=8.566454
x=-1.0845734 , y=1.6065093 , z=8.271967
x=-0.7661445 , y=1.6017209 , z=8.152257
x=-0.5386954 , y=1.757344 , z=8.020576
x=-0.34955344 , y=1.8148049 , z=8.046912
x=-0.05746084 , y=1.8483237 , z=8.137892
x=0.023942016 , y=1.8076223 , z=8.137892
x=0.08379706 , y=1.7310078 , z=8.018182
x=-0.15322891 , y=1.721431 , z=8.042124
x=-0.4213795 , y=1.5873557 , z=8.540117
x=-0.6368576 , y=1.4341269 , z=9.179369
x=-0.89064306 , y=1.30484 , z=9.629479
x=-1.0893618 , y=1.2114661 , z=10.151415
x=-1.2761095 , y=1.0726024 , z=11.140221
x=-1.4532804 , y=0.89064306 , z=11.633426
x=-1.6184803 , y=0.7685388 , z=12.282255
x=-1.7166426 , y=0.7685388 , z=12.385205
x=-1.8339585 , y=0.79008657 , z=12.492945
x=-1.9728222 , y=0.8499416 , z=12.363658
x=-2.0566192 , y=0.8714894 , z=12.196063
x=-2.0494366 , y=0.89064306 , z=11.803414
x=-1.99437 , y=1.067814 , z=11.288661
x=-1.7788919 , y=1.2306197 , z=10.809821
x=-1.3096284 , y=1.436521 , z=10.534488
x=-1.0079589 , y=1.5753847 , z=10.251971
x=-0.8690952 , y=1.745373 , z=9.981427
x=-0.60573304 , y=1.8579005 , z=9.998186
x=-0.38307226 , y=1.970428 , z=10.096349
x=-0.46447513 , y=2.0638018 , z=10.149021
x=-0.60812724 , y=2.15957 , z=10.328587
x=-0.830788 , y=2.2098482 , z=10.773908
x=-1.1611878 , y=2.231396 , z=10.7116585
x=-1.2473791 , y=2.2697031 , z=10.579977
x=-1.1204864 , y=2.3319526 , z=10.232818
x=-1.0199299 , y=2.3223755 , z=10.0508585
x=-0.9672575 , y=2.3319526 , z=9.722853
x=-0.9840169 , y=2.231396 , z=9.3733
x=-0.9600749 , y=2.099715 , z=9.270349
x=-1.067814 , y=2.0159178 , z=9.294291
x=-1.1923125 , y=1.9776106 , z=9.188946
x=-1.2641385 , y=1.8818425 , z=9.674969
x=-1.2569559 , y=1.745373 , z=10.28549
x=-1.2641385 , y=1.7310078 , z=10.730812
x=-1.1923125 , y=1.8148049 , z=10.922348
x=-1.0103531 , y=1.8387469 , z=11.032481
x=-0.8571242 , y=1.6783354 , z=11.080365
x=-0.7062895 , y=1.6065093 , z=11.11149
x=-0.6943185 , y=1.6376339 , z=10.749966
x=-0.81402856 , y=1.5466543 , z=10.675745
x=-0.82121116 , y=1.42455 , z=10.941502
x=-0.89064306 , y=1.4867992 , z=11.061212
x=-0.89543146 , y=1.745373 , z=10.869676
x=-0.7182605 , y=1.8124107 , z=10.632649
x=-0.49081135 , y=1.7429788 , z=10.33098
x=-0.33997664 , y=1.70946 , z=10.371682
