x=0.8331822 , y=2.2864625 , z=9.581595
x=0.8882488 , y=2.3654714 , z=9.660604
x=0.91458505 , y=2.4277205 , z=9.739613
x=0.8858546 , y=2.4708161 , z=9.749189
x=0.8475474 , y=2.4756045 , z=9.734824
x=0.80205756 , y=2.4875755 , z=9.682152
x=0.7086837 , y=2.5019407 , z=9.61272
x=0.7110779 , y=2.5258827 , z=9.579201
x=0.7302315 , y=2.5617957 , z=9.481039
x=0.7422025 , y=2.585738 , z=9.425972
x=0.7158663 , y=2.621651 , z=9.394848
x=0.6751649 , y=2.6072857 , z=9.40203
x=0.6607997 , y=2.6408045 , z=9.346964
x=0.7422025 , y=2.7222073 , z=9.291897
x=0.8714894 , y=2.8299465 , z=9.248801
x=1.0534488 , y=2.9041667 , z=9.174581
x=1.1563994 , y=2.9759927 , z=9.114726
x=1.1707647 , y=3.0190883 , z=9.119514
x=1.1300632 , y=3.0334535 , z=9.16261
x=1.1109096 , y=3.0502129 , z=9.200917
x=1.1324574 , y=3.074155 , z=9.203311
x=1.1875241 , y=3.0573955 , z=9.203311
x=1.2186487 , y=3.0238767 , z=9.212888
x=1.2497733 , y=2.9496565 , z=9.284714
x=1.2186487 , y=2.9472623 , z=9.3182335
x=1.1994951 , y=2.920926 , z=9.380483
x=1.1659763 , y=2.873042 , z=9.437943
x=1.1540052 , y=2.8203697 , z=9.464279
x=1.1061212 , y=2.7150247 , z=9.512163
x=1.0702082 , y=2.6192567 , z=9.572019
x=1.0151415 , y=2.5354595 , z=9.560047
x=0.94810385 , y=2.4827871 , z=9.545682
x=0.92655605 , y=2.4636335 , z=9.502586
x=0.89303726 , y=2.408567 , z=9.399636
x=0.8714894 , y=2.3774424 , z=9.296685
x=0.80205756 , y=2.315193 , z=9.16261
x=0.7589619 , y=2.3080103 , z=9.093178
x=0.7206547 , y=2.2697031 , z=9.004593
